"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"RSNNS::mlp_BackpropMomentum",0.21,3.4853,4.0633,0.578,3.1325,14.3828,48
"RSNNS::mlp_BackpropWeightDecay",0.246,3.4319,3.7632,0.3313,2.89,14.3467,49
"RSNNS::mlp_Quickprop",2.094,6.3871,8.1528,1.7657,6.2517,24.5588,50
"RSNNS::mlp_Rprop",0.202,3.1838,3.5905,0.4067,2.5733,14.7429,51
"RSNNS::mlp_SCG",0.326,3.2498,3.2841,0.0343,2.2854,14.4231,52
"RSNNS::mlp_Std_Backpropagation",0.234,3.5707,3.6319,0.0611999999999999,2.6701,14.8068,53
"snnR::snnR_none",0.02,4.3529,4.3529,0,3.2423,15.2576,54
"traineR::train.nnet_none",0.014,3.1128,3.3913,0.2785,2.4098,13.3731,55
"validann::ann_BFGS",0.904,3.2262,3.3341,0.1079,2.3356,14.3369,56
"validann::ann_CG",30.46,3.1175,3.2299,0.1124,2.1865,13.2863,57
"validann::ann_L-BFGS-B",1.038,3.238,3.5703,0.3323,2.6699,14.785,58
"validann::ann_Nelder-Mead",22.952,3.9234,4.1325,0.2091,3.1924,14.4615,59
"validann::ann_SANN",0.14,5.7592,7.3556,1.5964,5.9016,19.8265,60
