"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"nnet::nnet_none",0,0.283,0.283,0,0.2313,0.5675,42
"qrnn::qrnn.fit_none",0.094,0.2939,0.2939,0,0.2258,0.7231,43
"radiant.model::nn_none",0.01,0.283,0.283,0,0.2313,0.5677,44
"rminer::fit_none",0.004,0.283,0.283,0,0.2313,0.5675,45
"RSNNS::mlp_BackpropBatch",0.788,0.6867,0.6888,0.00209999999999999,0.5629,1.6534,46
"RSNNS::mlp_BackpropChunk",0.074,0.2912,0.6365,0.3453,0.5156,1.6363,47
"RSNNS::mlp_BackpropMomentum",0.074,0.2968,0.3315,0.0347,0.2742,0.7631,48
"RSNNS::mlp_BackpropWeightDecay",0.082,0.3096,0.6423,0.3327,0.5179,1.6618,49
"RSNNS::mlp_Quickprop",0.764,0.5304,0.5304,0,0.4235,1.2829,50
"RSNNS::mlp_Rprop",0.076,0.283,0.3141,0.0311,0.2531,0.7252,51
"RSNNS::mlp_SCG",0.104,0.2855,0.6216,0.3361,0.51,1.4782,52
"RSNNS::mlp_Std_Backpropagation",0.082,0.2834,0.3135,0.0301,0.2457,0.7675,53
"snnR::snnR_none",0.004,0.6793,0.6793,0,0.5564,1.6288,54
"traineR::train.nnet_none",0,0.283,0.283,0,0.2313,0.5675,55
"validann::ann_BFGS",0.104,0.283,0.283,0,0.2313,0.5675,56
"validann::ann_CG",23.762,0.283,0.283,0,0.2313,0.5675,57
"validann::ann_L-BFGS-B",0.222,0.283,0.283,0,0.2313,0.5675,58
"validann::ann_Nelder-Mead",9.006,0.3256,0.3341,0.00850000000000001,0.2793,0.8397,59
"validann::ann_SANN",0.168,0.3084,0.3344,0.026,0.2773,0.6937,60
