"pfa","time.mean","RMSE.min","RMSE.med","RMSE.d51","MAE.med","WAE.med","npfa"
"RSNNS::mlp_Quickprop",0.822,0.2177,0.2408,0.0231,0.2084,0.5154,50
"RSNNS::mlp_Rprop",0.08,0.0617,0.0689,0.00720000000000001,0.0484,0.2211,51
"RSNNS::mlp_SCG",0.122,0.0851,0.1018,0.0167,0.0848,0.2408,52
"RSNNS::mlp_Std_Backpropagation",0.078,0.1127,0.119,0.0063,0.1,0.2547,53
"snnR::snnR_none",0.006,0.3691,0.3691,0,0.2756,0.8531,54
"traineR::train.nnet_none",0,0.0019,0.0022,0.0003,0.0019,0.0076,55
"validann::ann_BFGS",0.35,0.0022,0.0023,0.0000999999999999998,0.0019,0.007,56
"validann::ann_CG",25.106,0.0035,0.0076,0.0041,0.0061,0.0205,57
"validann::ann_L-BFGS-B",0.512,0.0038,0.0084,0.0046,0.0066,0.0207,58
"validann::ann_Nelder-Mead",17.878,0.0833,0.1951,0.1118,0.1633,0.3615,59
"validann::ann_SANN",0.142,0.2692,0.3271,0.0579,0.2707,0.6914,60
